"id","name","goal_statement","default_mastery_criteria","default_target_date","status","created_at","updated_at","relative_target_duration"
"00243038-3189-46f7-86b1-b90e0ee461ae","Ice Cream Flavor Descriptions","Maintenance task allowing all Super Scoopers to recite ingredients in each ice cream flavor. At least two flavors will be turned over every season, therefore, knowledge of ingredients in ice cream will be imperative to share with customers when Super Scooper is asked.","3 consecutive shifts with all required steps Correct",,"active","""2025-09-02T14:30:20.398Z""","""2025-09-02T14:30:20.398Z""","90 days"
"26978e92-bb2e-4958-b56b-a8889f63fc1d","Chocolate Base","<teamate> will independently complete steps to making a chocolate ice cream base without lifting/pouring the base of base with 100% accuracy in 3 consecutive data days to increase independence in the workplace by <date>","3 consecutive shifts with all required steps Correct",,"active","""2025-09-02T12:58:46.960Z""","""2025-09-02T12:58:46.960Z""","90 days"
"6120a5cd-a6fd-46ed-a2a7-72355af25d40","Missing Statement																					 																							 										Greeting customers ","<teammate> will independently demonstrate the ability to greet and state The Golden Scoop mission to a customer to increase customer service skills in 3 consecutive shifts of the most recent by <3 months>.","3 consecutive shifts with all required steps Correct","2025-11-26","active","""2025-08-28T15:18:40.468Z""","""2025-08-28T15:18:40.468Z""","90 days"
"70e39734-19fd-4b35-9277-7b24ae362005","Answering the Phone","<Teamate> will independently answer the shop phone and answer all common questions asked by customers without a script and 100% accuracy to increase independence in the workplace in 3 consecutive shifts by <Date>","3 consecutive shifts with all required steps Correct","2025-11-26","active","""2025-08-28T15:26:27.057Z""","""2025-08-28T15:26:27.057Z""","90 days"
"a8a25821-8c20-40ca-858c-10f54ff49d76","Scoop ice cream for catering order","<employee> will independently complete all steps to scooping for a catering order with the appropriate amount of ice cream in 3 consecutive shifts to increase independence in the workplace by <date>","3 consecutive shifts with all required steps Correct","2025-12-01","active","""2025-09-02T04:48:35.533Z""","""2025-09-02T04:48:35.533Z""","90 days"
"d24f8fdd-ec30-4156-afb7-552c916468ea","Hot Tea","<teamate> will independently make Hot Tea with 100% accuracy in 3 consecutive data days to increase independence in the workplace by <date>.","3 consecutive shifts with all required steps Correct",,"active","""2025-09-02T13:25:48.535Z""","""2025-09-02T13:25:48.535Z""","90 days"
